type,dp(Z),dp(V),zeta
affamer,0.006038647342995,0.005336891260841,0.000701756082155
affectation,0.00402576489533,0.000333555703803,0.003692209191527
affecté,0.001610305958132,0.002001334222815,-0.000391028264683
affecter,0.032608695652174,0.033355570380254,-0.00074687472808
affection,0.055152979066023,0.034356237491661,0.020796741574362
affectionner,0.004428341384863,0.000333555703803,0.00409478568106
affectueux,0.000402576489533,0.000333555703803,6.90207857303449E-05
affermer,0.001207729468599,0,0.001207729468599
affermir,0.013687600644122,0.088058705803869,-0.074371105159747
affermissement,0,0.001000667111408,-0.001000667111408
affété,0.001207729468599,0.000667111407605,0.000540618060994
afféterie,0.000805152979066,0,0.000805152979066
affiblir,0,0.000333555703803,-0.000333555703803
affiche,0.003623188405797,0,0.003623188405797
afficher,0.007648953301127,0,0.007648953301127
afficheur,0.000402576489533,0,0.000402576489533
affidé,0.000402576489533,0.001667778519013,-0.00126520202948
affiler,0.001207729468599,0.000333555703803,0.000874173764796
affin,0.000402576489533,0.000333555703803,6.90207857303449E-05
affiner,0.001610305958132,0,0.001610305958132
affiquet,0.000402576489533,0,0.000402576489533
affirmativement,0.000402576489533,0,0.000402576489533
affirmer,0.002415458937198,0,0.002415458937198
affleurer,0,0.000333555703803,-0.000333555703803
afflictif,0.000402576489533,0,0.000402576489533
affliction,0.014895330112722,0.006671114076051,0.008224216036671
affligé,0.000805152979066,0.005003335557038,-0.004198182577972
afflige-t-il,0.000402576489533,0,0.000402576489533
affligeant,0.002012882447665,0.000667111407605,0.00134577104006
affliger,0.074476650563607,0.085723815877252,-0.011247165313645
affluence,0.000805152979066,0.000333555703803,0.000471597275263
affoler,0.000402576489533,0,0.000402576489533
affranchi,0.000402576489533,0.008338892595063,-0.00793631610553
affranchir,0.013687600644122,0.069046030687125,-0.055358430043003
affres,0,0.000333555703803,-0.000333555703803
affreusement,0.000402576489533,0,0.000402576489533
affreux,0.052334943639292,0.285190126751167,-0.232855183111876
affriander,0.000402576489533,0,0.000402576489533
affriqué,0,0.003335557038025,-0.003335557038025
affront,0.068438003220612,0.131087391594396,-0.062649388373784
affronter,0.014895330112722,0.024349566377585,-0.009454236264864
affronteur,0.002818035426731,0.000333555703803,0.002484479722928
affubler,0.001207729468599,0,0.001207729468599
affurez,0,0.000333555703803,-0.000333555703803
affût,0.002012882447665,0,0.002012882447665
afhige,0.000402576489533,0,0.000402576489533
afin,0.138888888888889,0.108739159439626,0.030149729449263
afiun,0.000402576489533,0,0.000402576489533
aflection,0.000402576489533,0,0.000402576489533
africain,0.000805152979066,0.010006671114076,-0.00920151813501
africaine,0,0.000333555703803,-0.000333555703803
africaines,0.000402576489533,0,0.000402576489533
africains,0.000402576489533,0.008338892595063,-0.00793631610553
africanus,0.000402576489533,0,0.000402576489533
afrique,0.005233494363929,0.024683122081388,-0.019449627717458
aga,0.004428341384863,0.002334889926618,0.002093451458245
agace,0.000402576489533,0,0.000402576489533
agace-t-elle,0.000402576489533,0,0.000402576489533
agacer,0.003623188405797,0,0.003623188405797
agacerie,0.000402576489533,0,0.000402576489533
agag,0,0.001000667111408,-0.001000667111408
agamemnon,0,0.01967978652435,-0.01967978652435
aganipide,0.000402576489533,0,0.000402576489533
agard,0.000402576489533,0,0.000402576489533
agate,0.001207729468599,0,0.001207729468599
agathe,0,0.000333555703803,-0.000333555703803
agathocle,0,0.003002001334223,-0.003002001334223
agathon,0.000402576489533,0.000333555703803,6.90207857303449E-05
agaton,0,0.000667111407605,-0.000667111407605
âge,0.142914653784219,0.089392928619079,0.05352172516514
âgé,0.008454106280193,0.003002001334223,0.00545210494597
age|âge,0.001610305958132,0,0.001610305958132
agélas,0.003220611916264,0,0.003220611916264
agencer,0.000805152979066,0,0.000805152979066
agenda,0.000402576489533,0,0.000402576489533
agénor,0.001207729468599,0,0.001207729468599
agent,0.008856682769726,0.007338225483656,0.00151845728607
agents,0.000402576489533,0,0.000402576489533
ages,0.000402576489533,0,0.000402576489533
agésilas,0,0.004336224149433,-0.004336224149433
agésistrate,0,0.001000667111408,-0.001000667111408
aggraver,0.001207729468599,0.003669112741828,-0.002461383273229
agile,0.000402576489533,0.000333555703803,6.90207857303449E-05
agilité,0.000402576489533,0.000333555703803,6.90207857303449E-05
agioter,0.000402576489533,0,0.000402576489533
agioteur,0.000402576489533,0,0.000402576489533
agir,0.171900161030596,0.180453635757171,-0.008553474726576
agira-t-il,0,0.000333555703803,-0.000333555703803
agirait-il,0.000402576489533,0,0.000402576489533
agire,0,0.000333555703803,-0.000333555703803
agirons-nous,0,0.000333555703803,-0.000333555703803
agissait-il,0,0.000333555703803,-0.000333555703803
